name,bus,pgini_mw,qgini_mvar,sgn_mva,q_min_attr,q_min_mvar_pf,q_max_attr,q_max_mvar_pf,control_attr,control_value,usetp_pu,p_result_mw,q_result_mvar,outserv,desc
gen_DE0_10_biomass,DE0_10,0.06748024374246597,0.0,434.0581359863281,q_min,-88.13926696777344,q_max,88.13926696777344,av_mode,constv,1.0,0.06748019018088769,5264.759091983628,0.0,[]
gen_DE0_10_oil,DE0_10,0.001558308256790042,0.0,41.48659896850586,q_min,-8.424213409423828,q_max,8.424213409423828,av_mode,constq,1.0,0.001558308256790042,-3.3881317890172014e-21,0.0,[]
gen_DE0_10_waste,DE0_10,0.009901449084281921,0.0,154.8300018310547,q_min,-31.439573287963867,q_max,31.439573287963867,av_mode,constq,1.0,0.009901449084281921,2.710505431213761e-20,0.0,[]
gen_DE0_11_0_onwind,DE0_11,2010.0067138671875,0.0,4736.8203125,q_min,-961.8523559570312,q_max,961.8523559570312,av_mode,constq,1.0,2010.006713867187,-1.1368683772161603e-13,0.0,[]
gen_DE0_11_0_solar,DE0_11,-0.0,0.0,949.6714477539062,q_min,-192.83900451660156,q_max,192.83900451660156,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_11_0_solar-hsat,DE0_11,-0.0,0.0,1.0,q_min,-0.027527235448360443,q_max,0.027527235448360443,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_11_CCGT,DE0_11,0.004391275346279144,0.0,350.47003173828125,q_min,-71.16597747802734,q_max,71.16597747802734,av_mode,constv,1.0,0.004392604733766348,3260.361675346073,0.0,[]
gen_DE0_11_OCGT,DE0_11,0.0035106618888676167,0.0,54.93302917480469,q_min,-11.154626846313477,q_max,11.154626846313477,av_mode,constq,1.0,0.003510661888867616,0.0,0.0,[]
gen_DE0_11_biomass,DE0_11,212.81053161621094,0.0,212.85450744628906,q_min,-43.22195053100586,q_max,43.22195053100586,av_mode,constq,1.0,212.8105316162109,1.4210854715202004e-14,0.0,[]
gen_DE0_11_oil,DE0_11,0.0016539455391466618,0.0,39.83319854736328,q_min,-8.088476181030273,q_max,8.088476181030273,av_mode,constq,1.0,0.0016539455391466615,1.0842021724855044e-19,0.0,[]
gen_DE0_11_ror,DE0_11,11.288817405700684,0.0,26.592500686645508,q_min,-5.399837493896484,q_max,5.399837493896484,av_mode,constq,1.0,11.28881740570068,-8.881784197001252e-16,0.0,[]
gen_DE0_11_waste,DE0_11,0.015670087188482285,0.0,118.19999694824219,q_min,-24.00153350830078,q_max,24.00153350830078,av_mode,constq,1.0,0.015670087188482285,-1.734723475976807e-18,0.0,[]
gen_DE0_12_0_onwind,DE0_12,2218.54150390625,0.0,5569.08544921875,q_min,-1130.8509521484375,q_max,1130.8509521484375,av_mode,constq,1.0,2218.54150390625,-2.2737367544323206e-13,0.0,[]
gen_DE0_12_0_solar,DE0_12,-0.0,0.0,2786.91162109375,q_min,-565.9065551757812,q_max,565.9065551757812,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_12_0_solar-hsat,DE0_12,-0.0,0.0,1.0,q_min,-0.026032788679003716,q_max,0.026032788679003716,av_mode,constq,1.0,0.0,0.0,0.0,[]
