name,from_bus,to_bus,type,rated_current_ka_pf,rated_mva_from_current,apparent_from_mva,apparent_to_mva,loading_calc_percent,length_km,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,i_from_ka,i_to_ka,loading_percent,outserv
111,FR0_1,FR0_6,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,2633.2655247014636,2695.68346042664,76.94355599931278,326.34326171875,-2490.3549553513194,855.6982645409556,2686.3275980869075,224.3955315383363,4.0008330506955625,4.095667292692046,76.94355598426549,0.0
112,FR0_10,FR0_11,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,643.9689092576309,704.4881929474767,20.108379756252912,327.213134765625,-627.960685519825,-142.69314465640696,638.7440820510075,-297.1693316061014,0.9784095343233811,1.0703590730693866,20.108379752655196,0.0
113,FR0_10,FR0_3,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,3912.695535189199,3940.6189272124207,112.47805521273375,144.7751007080078,-3755.7102954190723,1097.1902879503975,3937.4096757855664,159.0049512907408,5.944725842349777,5.987151047335626,112.47805519235092,0.0
114,FR0_10,FR0_9,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,5465.2192947490785,5493.082190253467,156.79039594941995,147.2349090576172,-5086.240568240111,1999.6946821167787,5446.318853492921,715.2362511557837,8.303541659045148,8.345874949094092,156.79039592134768,0.0
115,FR0_11,FR0_2,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,479.14656565021437,433.3157957253525,13.676398266787142,258.76983642578125,412.18041317498137,-244.31278797741405,-408.6126558775277,-144.2160749771277,0.7279878910787931,0.6583552401616303,13.676398264340214,0.0
116,FR0_11,FR0_3,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1027.5699310334696,1094.2382341439866,31.233111038979956,344.4696960449219,-1027.302355920017,-23.44851136666199,1058.3874352283638,-277.80091794894395,1.5612309899662988,1.6625229971740176,31.233111033320014,0.0
117,FR0_11,FR0_7,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1260.6147304609592,1320.341450278452,37.68683074593454,306.09033203125,-1258.0934453170676,79.68928099429434,1299.755552035996,-232.24351503327043,1.9153059311732212,2.006051293694973,37.686830739191386,0.0
118,FR0_11,FR0_8,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1842.9075219867339,1796.8451322535557,52.602562652923154,235.8882598876953,1836.9975898496668,-147.47199558492002,-1772.8363999311343,292.75164966659474,2.8000082992638404,2.7300237384562758,52.60256264351169,0.0
119,FR0_2,FR0_7,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1755.898680377218,1810.329821623671,51.67268933915602,278.7790222167969,-1731.5805414083557,291.2198557214141,1804.9037707353411,-140.0587071386123,2.6678120410637907,2.7505116043405815,51.672689329910426,0.0
12,BE0_0,NL0_1,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,6148.515686272265,6189.115494361238,176.65744573408824,234.69464111328125,-5049.701360387509,3507.8143216590925,5790.261944063403,2185.867613025423,9.341703120931513,9.403388147822474,176.65744570726275,0.0
