name,uknom_kv,u_pu,u_kv,angle_deg,outserv,longitude_attr,longitude,latitude_attr,latitude
DE0_3,380.0,1.0,219.3931022920578,9.746966219693917,0.0,GPSlon,11.86091938625,GPSlat,48.55498847125
DE0_30,380.0,0.9999999999999999,219.39310229205776,78.48476986720019,0.0,GPSlon,8.628106909166666,GPSlat,51.95864947166667
DE0_31,380.0,0.9999999999999999,219.39310229205776,74.1705030849814,0.0,GPSlon,10.88030713,GPSlat,52.28379033
DE0_32,380.0,1.0,219.3931022920578,24.649030938631054,0.0,GPSlon,9.269708460434783,GPSlat,48.88823571434783
DE0_33,380.0,1.0,219.3931022920578,33.987441208706116,0.0,GPSlon,11.92335304375,GPSlat,50.411612785
DE0_34,380.0,1.0,219.3931022920578,68.60413001134346,0.0,GPSlon,13.5619568,GPSlat,53.70479732444445
DE0_35,380.0,1.0,219.3931022920578,15.79076054530392,0.0,GPSlon,8.891600241999999,GPSlat,47.937393084
DE0_4,380.0,1.0,219.3931022920578,63.574270658330924,0.0,GPSlon,6.846650236315789,GPSlat,50.95023870447368
DE0_5,380.0,0.9999999999999999,219.39310229205776,100.5364915479738,0.0,GPSlon,10.08496557125,GPSlat,53.586271660625
DE0_6,380.0,1.0,219.3931022920578,27.755414398588684,0.0,GPSlon,10.99189078142857,GPSlat,49.76851013428571
DE0_7,380.0,1.0,219.3931022920578,24.69548027739109,0.0,GPSlon,8.80260792142857,GPSlat,48.74683810142857
DE0_8,380.0,1.0,219.3931022920578,40.88500439647884,0.0,GPSlon,12.812486985,GPSlat,51.09607229333333
DE0_9,380.0,1.0,219.3931022920578,76.55994307782238,0.0,GPSlon,6.78905251131579,GPSlat,51.56640727394737
DK0_0,380.0,0.9999999999999999,219.39310229205776,123.80023561612539,0.0,GPSlon,9.648341068333332,GPSlat,55.892980305555554
DK1_0,380.0,1.0,219.3931022920578,0.0,0.0,GPSlon,12.303248081111112,GPSlat,55.51597930333333
FR0_0,380.0,1.0,219.3931022920578,21.683245313169593,0.0,GPSlon,2.7409094674576275,GPSlat,50.40642037338983
FR0_1,380.0,1.0,219.3931022920578,-7.460962447509112,0.0,GPSlon,5.319957982831858,GPSlat,45.67254644867256
FR0_10,380.0,0.9999999999999999,219.39310229205776,4.182619829725244,0.0,GPSlon,2.32120472136646,GPSlat,48.77361832229813
FR0_11,380.0,1.0,219.3931022920578,11.109606354972566,0.0,GPSlon,2.45029353325,GPSlat,45.832220852
FR0_2,380.0,1.0,219.3931022920578,9.215004462244673,0.0,GPSlon,-0.460638574375,GPSlat,44.7270904628125
FR0_3,380.0,0.9999999999999999,219.39310229205776,20.880200159492126,0.0,GPSlon,4.288290464565217,GPSlat,48.66803602673913
FR0_4,380.0,1.0,219.3931022920578,63.01324986497935,0.0,GPSlon,-3.3383057608695657,GPSlat,48.200447117391306
FR0_5,380.0,1.0,219.3931022920578,-30.892855879839875,0.0,GPSlon,5.3471897885,GPSlat,43.7362098714
FR0_6,380.0,1.0,219.3931022920578,18.4009804069365,0.0,GPSlon,6.787887555774647,GPSlat,48.43191097859155
FR0_7,380.0,1.0000000000000002,219.39310229205785,29.31466330212812,0.0,GPSlon,-1.018537686875,GPSlat,47.20405807395833
FR0_8,380.0,1.0,219.3931022920578,-3.8806058323827686,0.0,GPSlon,1.9582178342857144,GPSlat,43.739759791428575
FR0_9,380.0,1.0,219.3931022920578,36.11703254061536,0.0,GPSlon,0.3507064538461538,GPSlat,49.04970775820513
NL0_0,380.0,1.0,219.3931022920578,73.06972529811074,0.0,GPSlon,4.481626574117647,GPSlat,52.059696368235294
NL0_1,380.0,1.0,219.3931022920578,87.31849408966958,0.0,GPSlon,6.183861166470588,GPSlat,52.56340226882353
PL0_0,380.0,1.0,219.3931022920578,25.013005773893582,0.0,GPSlon,21.472694515476192,GPSlat,51.74238649166667
PL0_1,380.0,1.0,219.3931022920578,19.741758294516302,0.0,GPSlon,19.267276251538465,GPSlat,50.50515963326923
PL0_2,380.0,1.0,219.3931022920578,32.31837502388634,0.0,GPSlon,16.82400974173077,GPSlat,52.64961935153846
