name,bus,p_schedule_mw,p_result_raw_mw,result_sign_reversed,p_result_mw,delta_p_mw,participates_observed,observed_share
gen_DE0_21_ror,DE0_21,22.932771682739258,22.932771682739247,0,22.932771682739247,-1.0658141036401503e-14,0,0.0
gen_CH0_0_biomass,CH0_0,58.97590637207031,58.975906372070305,0,58.975906372070305,-7.105427357601002e-15,0,0.0
gen_DE0_27_biomass,DE0_27,49.77601623535156,49.776016235351555,0,49.776016235351555,-7.105427357601002e-15,0,0.0
gen_DE0_21_0_onwind,DE0_21,24.958215713500977,24.958215713500984,0,24.958215713500984,7.105427357601002e-15,0,0.0
gen_DE0_26_0_onwind,DE0_26,29.845394134521484,29.845394134521477,0,29.845394134521477,-7.105427357601002e-15,0,0.0
gen_DE0_3_0_onwind,DE0_3,33.47480010986328,33.47480010986329,0,33.47480010986329,7.105427357601002e-15,0,0.0
gen_FR0_5_0_offwind-ac,FR0_5,17.645597457885742,17.64559745788575,0,17.64559745788575,7.105427357601002e-15,0,0.0
gen_FR0_8_0_offwind-ac,FR0_8,48.26564407348633,48.26564407348632,0,48.26564407348632,-7.105427357601002e-15,0,0.0
gen_PL0_2_0_offwind-ac,PL0_2,33.30194854736328,33.30194854736329,0,33.30194854736329,7.105427357601002e-15,0,0.0
gen_DE0_13_ror,DE0_13,47.70796585083008,47.707965850830085,0,47.707965850830085,7.105427357601002e-15,0,0.0
gen_DE0_20_ror,DE0_20,19.844118118286133,19.84411811828614,0,19.84411811828614,7.105427357601002e-15,0,0.0
gen_DE0_23_ror,DE0_23,59.282894134521484,59.28289413452149,0,59.28289413452149,7.105427357601002e-15,0,0.0
gen_DE0_8_ror,DE0_8,28.77687644958496,28.776876449584968,0,28.776876449584968,7.105427357601002e-15,0,0.0
gen_FR0_8_ror,FR0_8,63.715431213378906,63.7154312133789,0,63.7154312133789,-7.105427357601002e-15,0,0.0
gen_DE0_18_ror,DE0_18,27.19721794128418,27.197217941284176,0,27.197217941284176,-3.552713678800501e-15,0,0.0
gen_DE0_24_ror,DE0_24,17.78348159790039,17.783481597900394,0,17.783481597900394,3.552713678800501e-15,0,0.0
gen_FR0_2_ror,FR0_2,27.67514419555664,27.675144195556644,0,27.675144195556644,3.552713678800501e-15,0,0.0
gen_DE0_3_geothermal,DE0_3,11.093636512756348,11.093636512756346,0,11.093636512756346,-1.7763568394002505e-15,0,0.0
gen_CZ0_0_ror,CZ0_0,7.250129222869873,7.250129222869875,0,7.250129222869875,1.7763568394002505e-15,0,0.0
gen_DE0_28_ror,DE0_28,11.531608581542969,11.531608581542967,0,11.531608581542967,-1.7763568394002505e-15,0,0.0
gen_DE0_35_ror,DE0_35,8.960408210754395,8.960408210754393,0,8.960408210754393,-1.7763568394002505e-15,0,0.0
gen_DE0_9_ror,DE0_9,10.789052963256836,10.789052963256838,0,10.789052963256838,1.7763568394002505e-15,0,0.0
gen_DE0_33_ror,DE0_33,6.38759708404541,6.387597084045409,0,6.387597084045409,-8.881784197001252e-16,0,0.0
gen_DE0_5_ror,DE0_5,0.9359992146492004,0.9359992146492,0,0.9359992146492,-4.440892098500626e-16,0,0.0
gen_FR0_6_waste,FR0_6,0.021291177719831467,0.02129117771983121,0,0.02129117771983121,-2.5673907444456745e-16,0,0.0
gen_FR0_6_geothermal,FR0_6,1.6939740180969238,1.6939740180969236,0,1.6939740180969236,-2.220446049250313e-16,0,0.0
gen_DE0_16_ror,DE0_16,0.8259812593460083,0.8259812593460081,0,0.8259812593460081,-2.220446049250313e-16,0,0.0
gen_FR0_6_CCGT,FR0_6,0.0065832058899104595,0.006583205889910381,0,0.006583205889910381,-7.892991815694472e-17,0,0.0
gen_DE0_2_coal,DE0_2,0.07449962943792343,0.07449962943792349,0,0.07449962943792349,5.551115123125783e-17,0,0.0
gen_BE0_0_waste,BE0_0,0.020814666524529457,0.020814666524529485,0,0.020814666524529485,2.7755575615628914e-17,0,0.0
gen_FR0_0_0_offwind-dc,FR0_0,0.19013144075870514,0.19013144075870517,0,0.19013144075870517,2.7755575615628914e-17,0,0.0
gen_FR0_6_oil,FR0_6,0.001707241521216929,0.0017072415212169457,0,0.0017072415212169457,1.6696713456276768e-17,0,0.0
gen_FR0_7_oil,FR0_7,0.0017066393047571182,0.0017066393047571037,0,0.0017066393047571037,-1.452830911130576e-17,0,0.0
gen_DE0_33_coal,DE0_33,0.05541541054844856,0.055415410548448576,0,0.055415410548448576,1.3877787807814457e-17,0,0.0
gen_DE0_5_coal,DE0_5,0.03451954573392868,0.03451954573392867,0,0.03451954573392867,-1.3877787807814457e-17,0,0.0
gen_DE0_6_lignite,DE0_6,0.04099801555275917,0.040998015552759184,0,0.040998015552759184,1.3877787807814457e-17,0,0.0
gen_FR0_2_0_offwind-dc,FR0_2,0.10407419502735138,0.1040741950273514,0,0.1040741950273514,1.3877787807814457e-17,0,0.0
gen_FR0_7_CCGT,FR0_7,0.003430068725720048,0.0034300687257200605,0,0.0034300687257200605,1.2576745200831851e-17,0,0.0
gen_FR0_0_CCGT,FR0_0,0.006806898862123489,0.00680689886212348,0,0.00680689886212348,-9.540979117872439e-18,0,0.0
gen_BE0_0_CCGT,BE0_0,0.006525358650833368,0.006525358650833361,0,0.006525358650833361,-6.938893903907228e-18,0,0.0
gen_BE0_1_waste,BE0_1,0.02182513289153576,0.021825132891535766,0,0.021825132891535766,6.938893903907228e-18,0,0.0
gen_DE0_18_coal,DE0_18,0.04217740148305893,0.042177401483058936,0,0.042177401483058936,6.938893903907228e-18,0,0.0
gen_DE0_18_lignite,DE0_18,0.028534268960356712,0.02853426896035672,0,0.02853426896035672,6.938893903907228e-18,0,0.0
gen_DE0_20_lignite,DE0_20,0.05130060389637947,0.05130060389637948,0,0.05130060389637948,6.938893903907228e-18,0,0.0
gen_DE0_20_waste,DE0_20,0.01823245733976364,0.018232457339763634,0,0.018232457339763634,-6.938893903907228e-18,0,0.0
gen_DE0_23_lignite,DE0_23,0.05622045323252678,0.05622045323252677,0,0.05622045323252677,-6.938893903907228e-18,0,0.0
gen_DE0_30_coal,DE0_30,0.04387281462550163,0.043872814625501626,0,0.043872814625501626,-6.938893903907228e-18,0,0.0
gen_DE0_9_coal,DE0_9,0.05272093787789345,0.05272093787789344,0,0.05272093787789344,-6.938893903907228e-18,0,0.0
gen_hvdc_recv_TYNDP2020_1_NEP_DC3_bus1,DE0_32,0.04025818035006523,0.04025818035006524,0,0.04025818035006524,6.938893903907228e-18,0,0.0
gen_hvdc_recv_DC2_bus1,FR0_6,0.05953921005129814,0.05953921005129815,0,0.05953921005129815,6.938893903907228e-18,0,0.0
gen_FR0_5_CCGT,FR0_5,0.00650567002594471,0.006505670025944714,0,0.006505670025944714,4.336808689942018e-18,0,0.0
