name,bus,plini_mw,qlini_mvar,p_result_mw,q_result_mvar,outserv
load_DE0_22,DE0_22,1154.9661865234375,234.52589416503906,1079.9083560491022,234.52589416503906,0.0
load_DE0_23,DE0_23,1391.5841064453125,282.5732116699219,1301.1491784178913,282.5732116699219,0.0
load_DE0_24,DE0_24,1714.038330078125,348.0503234863281,1602.648057439259,348.0503234863281,0.0
load_DE0_25,DE0_25,988.47265625,200.71792602539062,924.2347470133186,200.71792602539065,0.0
load_DE0_26,DE0_26,2296.086669921875,466.2402648925781,2146.870800196601,466.2402648925781,0.0
load_DE0_27,DE0_27,1440.4818115234375,292.5023193359375,1346.869166519396,292.5023193359376,0.0
load_DE0_28,DE0_28,1121.5364990234375,227.73770141601562,1048.6511648926855,227.73770141601557,0.0
load_DE0_29,DE0_29,812.00390625,164.88442993164062,759.2341782259546,164.8844299316406,0.0
load_DE0_3,DE0_3,3029.75341796875,615.2176513671875,2832.858720030056,615.2176513671874,0.0
load_DE0_30,DE0_30,1844.2105712890625,374.48291015625,1724.3607903743007,374.4829101562499,0.0
load_DE0_31,DE0_31,933.3096313476562,189.5166015625,872.6566036597887,189.5166015625,0.0
load_DE0_32,DE0_32,3252.748046875,660.4986572265625,3041.361588702603,660.4986572265626,0.0
load_DE0_33,DE0_33,792.0640258789062,160.83546447753906,740.5901316013682,160.83546447753898,0.0
load_DE0_34,DE0_34,347.44976806640625,70.55268096923828,324.8700370801898,70.55268096923828,0.0
load_DE0_35,DE0_35,973.4428100585938,197.66600036621094,910.1816459947606,197.6660003662109,0.0
load_DE0_4,DE0_4,4024.19482421875,817.1476440429688,3762.674325665367,817.1476440429685,0.0
load_DE0_5,DE0_5,2819.823974609375,572.5897216796875,2636.5719692058356,572.5897216796875,0.0
load_DE0_6,DE0_6,1921.2115478515625,390.11865234375,1796.3577016120976,390.11865234374983,0.0
load_DE0_7,DE0_7,1200.7674560546875,243.82623291015625,1122.7331367756592,243.82623291015622,0.0
load_DE0_8,DE0_8,1557.8402099609375,316.33294677734375,1456.6007903573936,316.33294677734386,0.0
load_DE0_9,DE0_9,3014.152587890625,612.0498046875,2818.27174167584,612.0498046874999,0.0
load_DK0_0,DK0_0,1985.80029296875,403.23394775390625,1856.7490155506734,403.23394775390614,0.0
load_DK1_0,DK1_0,1910.3997802734375,387.9232177734375,1910.4676410931722,387.9232177734375,0.0
load_FR0_0,FR0_0,6640.34423828125,1348.37939453125,6208.807940557758,1348.37939453125,0.0
load_FR0_1,FR0_1,9639.9423828125,1957.4737548828125,9013.471089025563,1957.4737548828118,0.0
load_FR0_10,FR0_10,17562.982421875,3566.315673828125,16421.616230702894,3566.315673828125,0.0
load_FR0_11,FR0_11,3166.203369140625,642.9249877929688,2960.441193155567,642.9249877929689,0.0
load_FR0_2,FR0_2,3398.037353515625,690.0009155273438,3177.208973774605,690.0009155273438,0.0
load_FR0_3,FR0_3,2785.58447265625,565.6370239257812,2604.5575910382477,565.6370239257812,0.0
load_FR0_4,FR0_4,2074.420654296875,421.2290954589844,1939.610202164634,421.22909545898426,0.0
load_FR0_5,FR0_5,6391.6455078125,1297.8790283203125,5976.271403725945,1297.879028320313,0.0
load_FR0_6,FR0_6,5904.3525390625,1198.929931640625,5520.646161240613,1198.9299316406245,0.0
load_FR0_7,FR0_7,5495.59765625,1115.9287109375,5138.4550471840175,1115.9287109374993,0.0
load_FR0_8,FR0_8,3753.453125,762.1712036132812,3509.5273273126777,762.1712036132814,0.0
load_FR0_9,FR0_9,4336.53662109375,880.5713500976562,4054.717954582341,880.5713500976556,0.0
load_NL0_0,NL0_0,6724.30712890625,1365.4288330078125,6287.314331690217,1365.4288330078127,0.0
load_NL0_1,NL0_1,5877.29248046875,1193.4351806640625,5495.3446556800645,1193.4351806640623,0.0
load_PL0_0,PL0_0,6084.8759765625,1235.5867919921875,5689.43791540077,1235.5867919921873,0.0
load_PL0_1,PL0_1,5365.77001953125,1089.5660400390625,5017.064523916227,1089.5660400390627,0.0
load_PL0_2,PL0_2,6646.5537109375,1349.640380859375,6214.613877983795,1349.6403808593745,0.0
load_hvdc_send_DC20_bus0,DE0_16,0.026243505999445915,0.0,0.02453801830002862,0.0,0.0
load_hvdc_send_DC2_bus0,DE0_9,0.05953921005129814,0.0,0.05566993319561982,0.0,0.0
load_hvdc_send_DC5_bus0,DE0_12,0.02831193618476391,0.0,0.026472027336044472,0.0,0.0
load_hvdc_send_TYNDP2020_10_bus0,DE0_9,0.0342593714594841,0.0,0.032032956413599926,-8.673617379884035e-19,0.0
load_hvdc_send_TYNDP2020_1_NEP_DC3_bus0,DE0_29,0.04025818035006523,0.0,0.037641920487933675,0.0,0.0
load_hvdc_send_TYNDP2020_22_bus0,DE0_12,0.031854648143053055,0.0,0.02978450894067705,0.0,0.0
load_hvdc_send_TYNDP2020_23_NEP_DC1_bus0,DE0_10,0.05942818894982338,0.0,0.055566127026591396,-3.469446951953614e-18,0.0
load_hvdc_send_TYNDP2020_2_NEP_DC4_bus0,DE0_29,0.03832002356648445,0.0,0.035829718771256264,-1.734723475976807e-18,0.0
load_hvdc_send_relation_2505320-400-DC_b,DK1_0,599.92236328125,0.0,599.9436735974308,0.0,0.0
load_hvdc_send_relation_5487095-400-DC_b,DK0_0,323.7676086425781,0.0,302.72691103070696,0.0,0.0
load_hvdc_send_relation_8185420-320-DC_b,DK0_0,699.870849609375,0.0,654.3883167033403,5.684341886080802e-14,0.0
load_hvdc_send_relation_8193755-320-DC_b,DE0_4,999.9442138671875,0.0,934.9608020894324,0.0,0.0
